map_seed,class_id,recall,recall_nominal,excess
44,30,0.63,0.63,0.0
44,31,0.75,0.76,0.01
44,32,0.6,0.6,0.0
44,33,0.64,0.62,-0.02
44,34,0.65,0.68,0.03
44,35,0.37,0.42,0.05
44,36,0.64,0.73,0.09
44,37,0.78,0.78,0.0
44,38,0.71,0.74,0.03
44,39,0.85,0.84,-0.01
44,40,0.65,0.69,0.04
44,41,0.63,0.77,0.14
44,42,0.71,0.79,0.08
44,43,0.68,0.77,0.09
44,44,0.46,0.43,-0.03
44,45,0.61,0.59,-0.02
44,46,0.57,0.6,0.03
44,47,0.67,0.7,0.03
44,48,0.81,0.88,0.07
44,49,0.76,0.8,0.04
44,50,0.63,0.54,-0.09
44,51,0.69,0.63,-0.06
44,52,0.52,0.62,0.1
44,53,0.91,0.95,0.04
44,54,0.82,0.82,0.0
44,55,0.4,0.41,0.01
44,56,0.85,0.86,0.01
44,57,0.74,0.75,0.01
44,58,0.82,0.85,0.03
44,59,0.65,0.71,0.06
44,60,0.89,0.88,-0.01
44,61,0.64,0.72,0.08
44,62,0.7,0.79,0.09
44,63,0.7,0.68,-0.02
44,64,0.51,0.54,0.03
44,65,0.63,0.66,0.03
44,66,0.77,0.78,0.01
44,67,0.61,0.62,0.01
44,68,0.87,0.93,0.06
44,69,0.77,0.79,0.02
44,70,0.67,0.71,0.04
44,71,0.79,0.87,0.08
44,72,0.42,0.53,0.11
44,73,0.63,0.57,-0.06
44,74,0.53,0.58,0.05
44,75,0.86,0.87,0.01
44,76,0.9,0.89,-0.01
44,77,0.76,0.76,0.0
44,78,0.59,0.62,0.03
44,79,0.85,0.88,0.03
44,80,0.54,0.57,0.03
44,81,0.85,0.81,-0.04
44,82,0.94,0.91,-0.03
44,83,0.45,0.51,0.06
44,84,0.63,0.62,-0.01
44,85,0.86,0.87,0.01
44,86,0.7,0.71,0.01
44,87,0.8,0.8,0.0
44,88,0.74,0.78,0.04
44,89,0.96,0.93,-0.03
44,90,0.76,0.83,0.07
44,91,0.71,0.72,0.01
44,92,0.62,0.58,-0.04
44,93,0.54,0.57,0.03
44,94,0.93,0.93,0.0
44,95,0.7,0.74,0.04
44,96,0.63,0.57,-0.06
44,97,0.74,0.75,0.01
44,98,0.42,0.38,-0.04
44,99,0.79,0.77,-0.02
55,0,0.85,0.91,0.06
55,1,0.84,0.86,0.02
55,2,0.74,0.78,0.04
55,3,0.47,0.55,0.08
55,4,0.68,0.61,-0.07
55,5,0.82,0.85,0.03
55,6,0.71,0.76,0.05
55,7,0.7,0.76,0.06
55,8,0.83,0.89,0.06
55,9,0.77,0.8,0.03
55,10,0.47,0.51,0.04
55,11,0.39,0.44,0.05
55,12,0.8,0.85,0.05
55,13,0.6,0.63,0.03
55,14,0.61,0.76,0.15
55,15,0.7,0.8,0.1
55,16,0.75,0.82,0.07
55,17,0.81,0.86,0.05
55,18,0.65,0.69,0.04
55,19,0.59,0.69,0.1
55,20,0.82,0.83,0.01
55,21,0.8,0.8,0.0
55,22,0.64,0.73,0.09
55,23,0.8,0.78,-0.02
55,24,0.77,0.83,0.06
55,25,0.59,0.62,0.03
55,26,0.56,0.67,0.11
55,27,0.51,0.52,0.01
55,28,0.74,0.79,0.05
55,29,0.6,0.68,0.08
55,30,0.6,0.63,0.03
55,31,0.76,0.76,0.0
55,32,0.68,0.6,-0.08
55,33,0.77,0.62,-0.15
55,34,0.61,0.68,0.07
55,35,0.4,0.42,0.02
55,36,0.66,0.73,0.07
55,37,0.72,0.78,0.06
55,38,0.65,0.74,0.09
55,39,0.83,0.84,0.01
55,40,0.61,0.69,0.08
55,41,0.41,0.77,0.36
55,42,0.64,0.79,0.15
55,43,0.67,0.77,0.1
55,44,0.27,0.43,0.16
55,45,0.58,0.59,0.01
55,46,0.68,0.6,-0.08
55,47,0.7,0.7,0.0
55,48,0.9,0.88,-0.02
55,49,0.81,0.8,-0.01
55,50,0.45,0.54,0.09
55,51,0.66,0.63,-0.03
55,52,0.61,0.62,0.01
55,53,0.92,0.95,0.03
55,54,0.79,0.82,0.03
55,55,0.46,0.41,-0.05
55,56,0.84,0.86,0.02
55,57,0.74,0.75,0.01
55,58,0.8,0.85,0.05
55,59,0.59,0.71,0.12
55,60,0.9,0.88,-0.02
55,61,0.76,0.72,-0.04
55,62,0.71,0.79,0.08
55,63,0.64,0.68,0.04
55,64,0.35,0.54,0.19
55,65,0.59,0.66,0.07
55,66,0.72,0.78,0.06
55,67,0.6,0.62,0.02
55,68,0.96,0.93,-0.03
55,69,0.79,0.79,0.0
55,70,0.71,0.71,0.0
55,71,0.81,0.87,0.06
55,72,0.57,0.53,-0.04
55,73,0.58,0.57,-0.01
55,74,0.52,0.58,0.06
55,75,0.78,0.87,0.09
55,76,0.9,0.89,-0.01
55,77,0.77,0.76,-0.01
55,78,0.62,0.62,0.0
55,79,0.87,0.88,0.01
55,80,0.57,0.57,0.0
55,81,0.76,0.81,0.05
55,82,0.89,0.91,0.02
55,83,0.47,0.51,0.04
55,84,0.62,0.62,0.0
55,85,0.87,0.87,0.0
55,86,0.62,0.71,0.09
55,87,0.75,0.8,0.05
55,88,0.71,0.78,0.07
55,89,0.85,0.93,0.08
55,90,0.85,0.83,-0.02
55,91,0.65,0.72,0.07
55,92,0.54,0.58,0.04
55,93,0.54,0.57,0.03
55,94,0.94,0.93,-0.01
55,95,0.74,0.74,0.0
55,96,0.51,0.57,0.06
55,97,0.71,0.75,0.04
55,98,0.33,0.38,0.05
55,99,0.67,0.77,0.1
66,0,0.8,0.91,0.11
66,1,0.87,0.86,-0.01
66,2,0.78,0.78,0.0
66,3,0.56,0.55,-0.01
66,4,0.39,0.61,0.22
66,5,0.79,0.85,0.06
66,6,0.76,0.76,0.0
66,7,0.66,0.76,0.1
66,8,0.86,0.89,0.03
66,9,0.77,0.8,0.03
66,10,0.5,0.51,0.01
66,11,0.49,0.44,-0.05
66,12,0.83,0.85,0.02
66,13,0.56,0.63,0.07
66,14,0.78,0.76,-0.02
66,15,0.73,0.8,0.07
66,16,0.78,0.82,0.04
66,17,0.78,0.86,0.08
66,18,0.64,0.69,0.05
66,19,0.64,0.69,0.05
66,20,0.88,0.83,-0.05
66,21,0.58,0.8,0.22
66,22,0.76,0.73,-0.03
66,23,0.65,0.78,0.13
66,24,0.62,0.83,0.21
66,25,0.54,0.62,0.08
66,26,0.62,0.67,0.05
66,27,0.26,0.52,0.26
66,28,0.64,0.79,0.15
66,29,0.5,0.68,0.18
66,30,0.57,0.63,0.06
66,31,0.66,0.76,0.1
66,32,0.54,0.6,0.06
66,33,0.47,0.62,0.15
66,34,0.73,0.68,-0.05
66,35,0.48,0.42,-0.06
66,36,0.65,0.73,0.08
66,37,0.79,0.78,-0.01
66,38,0.65,0.74,0.09
66,39,0.83,0.84,0.01
66,40,0.71,0.69,-0.02
66,41,0.39,0.77,0.38
66,42,0.77,0.79,0.02
66,43,0.7,0.77,0.07
66,44,0.35,0.43,0.08
66,45,0.41,0.59,0.18
66,46,0.49,0.6,0.11
66,47,0.64,0.7,0.06
66,48,0.89,0.88,-0.01
66,49,0.62,0.8,0.18
66,50,0.42,0.54,0.12
